seq,year,orig_name,rel_path,size_bytes,lines,encoding,has_chinese,platform_features,md5_12,unreadable,normalized_rel
145,2022年度精选策略,49.修改成一创版本.txt,2022年度精选策略\49.修改成一创版本.txt,16668,423,utf-8,True,initialize|run_daily|set_benchmark|order_target_value|get_price|get_fundamentals,39dbeced0f7b,False,normalized\2022年度精选策略\49.修改成一创版本.txt
146,2022年度精选策略,5.随机森林策略，低换手率，年化近50%.txt,2022年度精选策略\5.随机森林策略，低换手率，年化近50%.txt,3435,90,utf-8,True,initialize|run_daily|set_benchmark|order_target_value,761ba995d9c1,False,normalized\2022年度精选策略\5.随机森林策略，低换手率，年化近50%.txt
147,2022年度精选策略,50.ETF动量轮动RSRS择时-V2.1.txt,2022年度精选策略\50.ETF动量轮动RSRS择时-V2.1.txt,10360,238,utf-8,True,initialize|run_daily|set_benchmark|order_target_value,446d192d3dca,False,normalized\2022年度精选策略\50.ETF动量轮动RSRS择时-V2.1.txt
148,2022年度精选策略,51.行业反转效应（年化32%回撤8%).txt,2022年度精选策略\51.行业反转效应（年化32%回撤8%).txt,11450,279,utf-8,True,initialize|run_daily|run_monthly|set_benchmark|order_target_value|get_price|get_fundamentals,735da80d20f4,False,normalized\2022年度精选策略\51.行业反转效应（年化32%回撤8%).txt
149,2022年度精选策略,52.市场宽度——简洁版.txt,2022年度精选策略\52.市场宽度——简洁版.txt,5416,187,utf-8,True,get_price,30e32c8cffae,False,normalized\2022年度精选策略\52.市场宽度——简洁版.txt
150,2022年度精选策略,53.超跌网格交易大法V1.2：稳健跑赢大盘-年化13%回撤7%.txt,2022年度精选策略\53.超跌网格交易大法V1.2：稳健跑赢大盘-年化13%回撤7%.txt,37113,901,utf-8,True,initialize|handle_data|run_daily|run_monthly|set_benchmark|order_target_value|order_value|get_fundamentals,ebdfa4e25669,False,normalized\2022年度精选策略\53.超跌网格交易大法V1.2：稳健跑赢大盘-年化13%回撤7%.txt
151,2022年度精选策略,54.sales_growth今年最优版.txt,2022年度精选策略\54.sales_growth今年最优版.txt,11353,251,utf-8,True,initialize|run_daily|run_weekly|set_benchmark|order_target_value|get_fundamentals,b2bd8aaa693f,False,normalized\2022年度精选策略\54.sales_growth今年最优版.txt
152,2022年度精选策略,55.【复现】技术指标形态识别.txt,2022年度精选策略\55.【复现】技术指标形态识别.txt,16885,541,utf-8,True,get_price,a4572d674579,False,normalized\2022年度精选策略\55.【复现】技术指标形态识别.txt
153,2022年度精选策略,56.一创PEG+EBIT+turnover_volatility.txt,2022年度精选策略\56.一创PEG+EBIT+turnover_volatility.txt,9816,244,utf-8,True,initialize|run_weekly|set_benchmark|order_target_value|get_fundamentals,9519cb55d6b7,False,normalized\2022年度精选策略\56.一创PEG+EBIT+turnover_volatility.txt
154,2022年度精选策略,57.别人恐惧我贪婪3——年化20%的股债组合.txt,2022年度精选策略\57.别人恐惧我贪婪3——年化20%的股债组合.txt,4139,133,utf-8,True,initialize|run_daily|set_benchmark|order_target_value,e3da6fa71af1,False,normalized\2022年度精选策略\57.别人恐惧我贪婪3——年化20%的股债组合.txt
155,2022年度精选策略,58.ETF动量轮动RSRS与北上择时-股债平衡-盘中止损.txt,2022年度精选策略\58.ETF动量轮动RSRS与北上择时-股债平衡-盘中止损.txt,15322,339,utf-8,True,initialize|run_daily|set_benchmark|order_target_value|order_value,34dea750b174,False,normalized\2022年度精选策略\58.ETF动量轮动RSRS与北上择时-股债平衡-盘中止损.txt
156,2022年度精选策略,59.年化62%的动量策略.txt,2022年度精选策略\59.年化62%的动量策略.txt,6193,143,utf-8,True,initialize|run_daily|set_benchmark|order_value|get_price,6a6ec8869ddb,False,normalized\2022年度精选策略\59.年化62%的动量策略.txt
157,2022年度精选策略,6.PEG+成长+小市值+RSRS择时.txt,2022年度精选策略\6.PEG+成长+小市值+RSRS择时.txt,12223,248,utf-8,True,initialize|run_daily|run_weekly|set_benchmark|order_target_value|get_price|get_fundamentals,79ae77fb3af7,False,normalized\2022年度精选策略\6.PEG+成长+小市值+RSRS择时.txt
158,2022年度精选策略,60.ETF动量轮动RSRS择时-v2.txt,2022年度精选策略\60.ETF动量轮动RSRS择时-v2.txt,10774,250,utf-8,True,initialize|run_daily|set_benchmark|order_target_value,9c3e57db4230,False,normalized\2022年度精选策略\60.ETF动量轮动RSRS择时-v2.txt
159,2022年度精选策略,61.简单ETF策略，年化97%.txt,2022年度精选策略\61.简单ETF策略，年化97%.txt,10708,265,utf-8,True,initialize|run_daily|set_benchmark|order_value,5a049724244c,False,normalized\2022年度精选策略\61.简单ETF策略，年化97%.txt
160,2022年度精选策略,62.【重构】C-VIX 中国版 VIX 编制手册.txt,2022年度精选策略\62.【重构】C-VIX 中国版 VIX 编制手册.txt,6242,283,utf-8,True,,26504daaec74,False,normalized\2022年度精选策略\62.【重构】C-VIX 中国版 VIX 编制手册.txt
161,2022年度精选策略,63.生猪期货CTA策略.txt,2022年度精选策略\63.生猪期货CTA策略.txt,22685,491,utf-8,True,initialize|run_daily|set_benchmark|get_price,80bb00999bde,False,normalized\2022年度精选策略\63.生猪期货CTA策略.txt
162,2022年度精选策略,64.ETF轮动策略升级-增加盘中止损.txt,2022年度精选策略\64.ETF轮动策略升级-增加盘中止损.txt,12562,321,utf-8,True,initialize|run_daily|set_benchmark|order_target_value|get_price,e87eac425c7c,False,normalized\2022年度精选策略\64.ETF轮动策略升级-增加盘中止损.txt
163,2022年度精选策略,65.神级策略：桥水全天候策略-7年最大回撤仅3.5%.txt,2022年度精选策略\65.神级策略：桥水全天候策略-7年最大回撤仅3.5%.txt,18584,472,utf-8,True,initialize|run_daily|set_benchmark|order_target_value,013cb4b74559,False,normalized\2022年度精选策略\65.神级策略：桥水全天候策略-7年最大回撤仅3.5%.txt
164,2022年度精选策略,66.ETF动量轮动MA乖离择时.txt,2022年度精选策略\66.ETF动量轮动MA乖离择时.txt,5518,126,utf-8,True,initialize|run_daily|set_benchmark|order_target_value,8a501274d829,False,normalized\2022年度精选策略\66.ETF动量轮动MA乖离择时.txt
165,2022年度精选策略,67.三因子策略年化21%简单多因子策略框架.txt,2022年度精选策略\67.三因子策略年化21%简单多因子策略框架.txt,6647,136,utf-8,True,initialize|run_daily|set_benchmark|order_value,0cfd69a71894,False,normalized\2022年度精选策略\67.三因子策略年化21%简单多因子策略框架.txt
166,2022年度精选策略,68.胜率78%，6年36倍，今年行情依然50%年化.txt,2022年度精选策略\68.胜率78%，6年36倍，今年行情依然50%年化.txt,5453,126,utf-8,True,initialize|run_weekly|set_benchmark|order_target_value|get_fundamentals,a21c221a02be,False,normalized\2022年度精选策略\68.胜率78%，6年36倍，今年行情依然50%年化.txt
167,2022年度精选策略,69.场内基金定投价值平均增强策略，年化30%+.txt,2022年度精选策略\69.场内基金定投价值平均增强策略，年化30%+.txt,16810,329,utf-8,True,initialize|handle_data|run_daily|run_monthly|after_trading_end|set_benchmark|order_value|get_price,658d7ff79757,False,normalized\2022年度精选策略\69.场内基金定投价值平均增强策略，年化30%+.txt
168,2022年度精选策略,7.致敬经典作品——小兵哥《一致性风险度量》——极速版.txt,2022年度精选策略\7.致敬经典作品——小兵哥《一致性风险度量》——极速版.txt,18425,468,utf-8,True,initialize|run_daily|set_benchmark|order_target_value,980f868e249b,False,normalized\2022年度精选策略\7.致敬经典作品——小兵哥《一致性风险度量》——极速版.txt
169,2022年度精选策略,70.（股票交易模板）小市值-EPS-成长因子选股.txt,2022年度精选策略\70.（股票交易模板）小市值-EPS-成长因子选股.txt,7939,180,utf-8,True,initialize|run_weekly|set_benchmark|order_target_value|get_fundamentals,f6b9581b7b4f,False,normalized\2022年度精选策略\70.（股票交易模板）小市值-EPS-成长因子选股.txt
170,2022年度精选策略,71.期货日内策略三价均线结合ATR指标.txt,2022年度精选策略\71.期货日内策略三价均线结合ATR指标.txt,11611,252,utf-8,True,initialize|run_daily|set_benchmark|order_value|get_price,f64731452977,False,normalized\2022年度精选策略\71.期货日内策略三价均线结合ATR指标.txt
171,2022年度精选策略,72.随机森林 - 多因子模型.txt,2022年度精选策略\72.随机森林 - 多因子模型.txt,14579,404,utf-8,True,initialize|run_daily|set_benchmark|order_target_value|get_price|get_fundamentals,796cdaa672f8,False,normalized\2022年度精选策略\72.随机森林 - 多因子模型.txt
172,2022年度精选策略,73.实现净利润跳空策略.txt,2022年度精选策略\73.实现净利润跳空策略.txt,6145,156,utf-8,True,initialize|run_daily|set_benchmark|order_target_value|order_value|get_fundamentals,a3cc3db7586e,False,normalized\2022年度精选策略\73.实现净利润跳空策略.txt
173,2022年度精选策略,74.【动量应用V1】12年120倍，根据研报思路调整.txt,2022年度精选策略\74.【动量应用V1】12年120倍，根据研报思路调整.txt,10222,231,utf-8,True,initialize|run_daily|run_weekly|set_benchmark|order_target_value|get_fundamentals,259a5854ef9e,False,normalized\2022年度精选策略\74.【动量应用V1】12年120倍，根据研报思路调整.txt
174,2022年度精选策略,75.ETF轮动策略-入门2.0.txt,2022年度精选策略\75.ETF轮动策略-入门2.0.txt,18186,394,utf-8,True,initialize|run_daily|set_benchmark|order_target_value,1e9952c07f3e,False,normalized\2022年度精选策略\75.ETF轮动策略-入门2.0.txt
175,2022年度精选策略,76.ETF-控制回撤性能拉满（国债ETF增强).txt,2022年度精选策略\76.ETF-控制回撤性能拉满（国债ETF增强).txt,5831,157,utf-8,True,initialize|run_daily|set_benchmark|order_target_value,f367356aa7c2,False,normalized\2022年度精选策略\76.ETF-控制回撤性能拉满（国债ETF增强).txt
176,2022年度精选策略,77.龙头弱转强战法.txt,2022年度精选策略\77.龙头弱转强战法.txt,10723,249,utf-8,True,initialize|run_daily|set_benchmark|order_target_value,65c6f9a6f19c,False,normalized\2022年度精选策略\77.龙头弱转强战法.txt
177,2022年度精选策略,78.ffscore选股加rsrs择时.txt,2022年度精选策略\78.ffscore选股加rsrs择时.txt,25354,537,utf-8,True,initialize|run_daily|run_monthly|set_benchmark|order_target_value|order_value|get_price|get_fundamentals,48bf0497cf33,False,normalized\2022年度精选策略\78.ffscore选股加rsrs择时.txt
178,2022年度精选策略,79.实盘一周50%的妖股探测器.txt,2022年度精选策略\79.实盘一周50%的妖股探测器.txt,21166,481,utf-8,True,initialize|run_daily|set_benchmark|order_target_value|get_price|get_fundamentals,b380e94a75f7,False,normalized\2022年度精选策略\79.实盘一周50%的妖股探测器.txt
179,2022年度精选策略,8.14个月200%，超短线实盘交易策略！无未来函数.txt,2022年度精选策略\8.14个月200%，超短线实盘交易策略！无未来函数.txt,7771,181,utf-8,True,initialize|handle_data|before_trading_start|set_benchmark|order_value|get_price,4440d07f973f,False,normalized\2022年度精选策略\8.14个月200%，超短线实盘交易策略！无未来函数.txt
180,2022年度精选策略,80.短线策略-2022年两个半月收益45%-无未来函数.txt,2022年度精选策略\80.短线策略-2022年两个半月收益45%-无未来函数.txt,11706,296,utf-8,True,initialize|handle_data|before_trading_start|set_benchmark|order_value|get_price,2b351fd05d5f,False,normalized\2022年度精选策略\80.短线策略-2022年两个半月收益45%-无未来函数.txt
181,2022年度精选策略,81.低PB小市值低换手策略总结.txt,2022年度精选策略\81.低PB小市值低换手策略总结.txt,3506,103,utf-8,True,initialize|run_monthly|set_benchmark|order_target_value|get_price|get_fundamentals,b6bcb28f7620,False,normalized\2022年度精选策略\81.低PB小市值低换手策略总结.txt
182,2022年度精选策略,82.可转债知识总结.txt,2022年度精选策略\82.可转债知识总结.txt,24953,614,utf-8,True,get_price|get_fundamentals,32ce2f1e048b,False,normalized\2022年度精选策略\82.可转债知识总结.txt
183,2022年度精选策略,83.开盘幅度决定日内方向.txt,2022年度精选策略\83.开盘幅度决定日内方向.txt,3441,74,utf-8,True,initialize|run_daily|set_benchmark|order_target_value|order_value,940a2e1375c5,False,normalized\2022年度精选策略\83.开盘幅度决定日内方向.txt
184,2022年度精选策略,84.多大规模的基金收益最好？偏股基金规模研究.txt,2022年度精选策略\84.多大规模的基金收益最好？偏股基金规模研究.txt,10087,231,utf-8,True,initialize|run_monthly|set_benchmark,a662700cb736,False,normalized\2022年度精选策略\84.多大规模的基金收益最好？偏股基金规模研究.txt
185,2022年度精选策略,85.价值策略重开，再次向Jqz1226致敬.txt,2022年度精选策略\85.价值策略重开，再次向Jqz1226致敬.txt,38424,886,utf-8,True,initialize|run_daily|run_weekly|run_monthly|set_benchmark|order_target_value|get_price|get_fundamentals,b07cd4615bb1,False,normalized\2022年度精选策略\85.价值策略重开，再次向Jqz1226致敬.txt
186,2022年度精选策略,86.可转债双低策略.txt,2022年度精选策略\86.可转债双低策略.txt,16640,407,utf-8,True,get_price,96b46a8b211e,False,normalized\2022年度精选策略\86.可转债双低策略.txt
187,2022年度精选策略,87.北上净买入策略.txt,2022年度精选策略\87.北上净买入策略.txt,5579,142,utf-8,True,initialize|run_daily|run_weekly|run_monthly|set_benchmark|order_value,540dec7b2fe4,False,normalized\2022年度精选策略\87.北上净买入策略.txt
188,2022年度精选策略,88.打首板策略，今年收益达到40%，绝无未来函数（必回）.txt,2022年度精选策略\88.打首板策略，今年收益达到40%，绝无未来函数（必回）.txt,15698,333,utf-8,True,initialize|run_daily|set_benchmark|set_universe|order_value|get_price|get_fundamentals,81ad04a56473,False,normalized\2022年度精选策略\88.打首板策略，今年收益达到40%，绝无未来函数（必回）.txt
189,2022年度精选策略,89.年化收益55.7%， 超高胜率 0.799.txt,2022年度精选策略\89.年化收益55.7%， 超高胜率 0.799.txt,46790,1051,utf-8,True,initialize|handle_data|run_daily|before_trading_start|after_trading_end|set_benchmark|order_target_value|get_fundamentals,b33eb6099f82,False,normalized\2022年度精选策略\89.年化收益55.7%， 超高胜率 0.799.txt
190,2022年度精选策略,9.分享几个截止2022年3月仍有效的策略.txt,2022年度精选策略\9.分享几个截止2022年3月仍有效的策略.txt,30402,686,utf-8,True,initialize|run_daily|run_weekly|run_monthly|set_benchmark|order_target_value|get_price|get_fundamentals,a0b7915e9c6d,False,normalized\2022年度精选策略\9.分享几个截止2022年3月仍有效的策略.txt
191,2022年度精选策略,90.大师策略——柯林·麦克连成长价值优势投资法.txt,2022年度精选策略\90.大师策略——柯林·麦克连成长价值优势投资法.txt,10723,256,utf-8,True,initialize|run_daily|run_monthly|set_benchmark|order_target_value|get_fundamentals,38cceabf3946,False,normalized\2022年度精选策略\90.大师策略——柯林·麦克连成长价值优势投资法.txt
192,2022年度精选策略,91.【复现】特征分布建模择时.txt,2022年度精选策略\91.【复现】特征分布建模择时.txt,5801,191,utf-8,True,initialize|run_daily|before_trading_start|set_benchmark|order_target_value|get_price,4ceec66f61b5,False,normalized\2022年度精选策略\91.【复现】特征分布建模择时.txt
193,2022年度精选策略,92.利用myTT库整合通达信公式——以“飞鹰优选”选股公式为例.txt,2022年度精选策略\92.利用myTT库整合通达信公式——以“飞鹰优选”选股公式为例.txt,2171,79,utf-8,True,,a7dffec9c1f8,False,normalized\2022年度精选策略\92.利用myTT库整合通达信公式——以“飞鹰优选”选股公式为例.txt
194,2022年度精选策略,93.因子看板多因子模型---由量化课堂多因子模型修改.txt,2022年度精选策略\93.因子看板多因子模型---由量化课堂多因子模型修改.txt,10955,309,utf-8,True,initialize|handle_data|before_trading_start|after_trading_end|set_benchmark|order_target_value|get_price,2df3e13a8386,False,normalized\2022年度精选策略\93.因子看板多因子模型---由量化课堂多因子模型修改.txt
195,2022年度精选策略,"94.FoF, all in.txt","2022年度精选策略\94.FoF, all in.txt",2069,159,utf-8,False,,7f65df5590d0,False,"normalized\2022年度精选策略\94.FoF, all in.txt"
196,2022年度精选策略,95.首席质量因子-Gross Profitabilit（简化版）.txt,2022年度精选策略\95.首席质量因子-Gross Profitabilit（简化版）.txt,6371,145,utf-8,True,initialize|run_daily|set_benchmark|order_target_value|get_fundamentals,6d7d49cd16a6,False,normalized\2022年度精选策略\95.首席质量因子-Gross Profitabilit（简化版）.txt
197,2022年度精选策略,96.集合竞价量比策略V1.txt,2022年度精选策略\96.集合竞价量比策略V1.txt,7599,200,utf-8,True,initialize|run_daily|set_benchmark|order_target_value,7b2d53da85ce,False,normalized\2022年度精选策略\96.集合竞价量比策略V1.txt
198,2022年度精选策略,97.【涨停研究一】具有哪些因子的股票更容易涨停.txt,2022年度精选策略\97.【涨停研究一】具有哪些因子的股票更容易涨停.txt,21813,564,utf-8,True,initialize|run_daily|set_benchmark|order_target_value|get_price|get_fundamentals,e2ada56b9738,False,normalized\2022年度精选策略\97.【涨停研究一】具有哪些因子的股票更容易涨停.txt
199,2022年度精选策略,98.【漂亮50】“漂亮50”策略复现以及股息率排序函数.txt,2022年度精选策略\98.【漂亮50】“漂亮50”策略复现以及股息率排序函数.txt,14893,358,utf-8,True,initialize|run_daily|set_benchmark|order_target_value|get_fundamentals,70ca674cdf4c,False,normalized\2022年度精选策略\98.【漂亮50】“漂亮50”策略复现以及股息率排序函数.txt
200,2022年度精选策略,99.计算每日全A市场个股创新高比例(改).txt,2022年度精选策略\99.计算每日全A市场个股创新高比例(改).txt,1495,44,utf-8,True,get_price,28a524413d52,False,normalized\2022年度精选策略\99.计算每日全A市场个股创新高比例(改).txt
201,2023年度精选策略,0.7年40倍，模拟超过两年，年化高回撤低.txt,2023年度精选策略\0.7年40倍，模拟超过两年，年化高回撤低.txt,10692,241,utf-8,True,initialize|run_daily|before_trading_start|order_target_value|order_value|get_fundamentals,51f57a8e10a5,False,normalized\2023年度精选策略\0.7年40倍，模拟超过两年，年化高回撤低.txt
202,2023年度精选策略,1.龙头底分型战法-两年23倍.txt,2023年度精选策略\1.龙头底分型战法-两年23倍.txt,19602,331,utf-8,True,initialize|run_daily|set_benchmark|order_value|get_price,d7cee922d57b,False,normalized\2023年度精选策略\1.龙头底分型战法-两年23倍.txt
203,2023年度精选策略,10.一个简单而持续稳定的懒人超额收益策略.txt,2023年度精选策略\10.一个简单而持续稳定的懒人超额收益策略.txt,2005,56,utf-8,True,initialize|run_daily|run_monthly|order_value,e1d490e338ef,False,normalized\2023年度精选策略\10.一个简单而持续稳定的懒人超额收益策略.txt
204,2023年度精选策略,11.致敬市场--5 定投ETF之躺平赢.txt,2023年度精选策略\11.致敬市场--5 定投ETF之躺平赢.txt,1989,61,utf-8,True,initialize|run_weekly|order_value,34ff0a729ba3,False,normalized\2023年度精选策略\11.致敬市场--5 定投ETF之躺平赢.txt
205,2023年度精选策略,12.【不含未来！】宽基etf轮动8年50倍年化60%.txt,2023年度精选策略\12.【不含未来！】宽基etf轮动8年50倍年化60%.txt,9395,244,utf-8,True,initialize|run_daily|run_weekly|set_benchmark|order_value,4302842f46e1,False,normalized\2023年度精选策略\12.【不含未来！】宽基etf轮动8年50倍年化60%.txt
206,2023年度精选策略,13.胜率65%之缩量分歧反包战法.txt,2023年度精选策略\13.胜率65%之缩量分歧反包战法.txt,15995,269,utf-8,True,initialize|run_daily|set_benchmark|set_universe|order_value|get_price,0dead42c418a,False,normalized\2023年度精选策略\13.胜率65%之缩量分歧反包战法.txt
207,2023年度精选策略,14.2020年 267%年化 13%回撤 上涨趋势策略修改版.txt,2023年度精选策略\14.2020年 267%年化 13%回撤 上涨趋势策略修改版.txt,15336,426,utf-8,True,initialize|run_daily|run_weekly|set_benchmark|order_target_value|order_value|get_fundamentals,ffb25e65491f,False,normalized\2023年度精选策略\14.2020年 267%年化 13%回撤 上涨趋势策略修改版.txt
208,2023年度精选策略,15.动量ETF轮动RSRS择时-升级.txt,2023年度精选策略\15.动量ETF轮动RSRS择时-升级.txt,13192,287,utf-8,True,initialize|run_daily|set_benchmark|order_target_value,fe5ea132704b,False,normalized\2023年度精选策略\15.动量ETF轮动RSRS择时-升级.txt
209,2023年度精选策略,16.8年13倍的ETF动量轮动策略，有滑点，无未来函数，回撤小！.txt,2023年度精选策略\16.8年13倍的ETF动量轮动策略，有滑点，无未来函数，回撤小！.txt,13192,287,utf-8,True,initialize|run_daily|set_benchmark|order_target_value,fe5ea132704b,False,normalized\2023年度精选策略\16.8年13倍的ETF动量轮动策略，有滑点，无未来函数，回撤小！.txt
210,2023年度精选策略,17.20行代码8年胜率100%躲过了牛年第一场大跌.txt,2023年度精选策略\17.20行代码8年胜率100%躲过了牛年第一场大跌.txt,1152,26,utf-8,True,initialize|run_daily|set_benchmark|order_target_value|order_value,29eb91dbaf60,False,normalized\2023年度精选策略\17.20行代码8年胜率100%躲过了牛年第一场大跌.txt
211,2023年度精选策略,18.【复现】FFScore财务模型.txt,2023年度精选策略\18.【复现】FFScore财务模型.txt,12970,367,utf-8,True,initialize|run_monthly|before_trading_start|set_benchmark|order_target_value|get_price,0b108593130a,False,normalized\2023年度精选策略\18.【复现】FFScore财务模型.txt
212,2023年度精选策略,19.人人可躺平16年3400%.txt,2023年度精选策略\19.人人可躺平16年3400%.txt,2139,64,utf-8,True,handle_data|set_benchmark|set_universe,ecd0d1bac378,False,normalized\2023年度精选策略\19.人人可躺平16年3400%.txt
213,2023年度精选策略,2.多策略融合-80倍-无未来函数.txt,2023年度精选策略\2.多策略融合-80倍-无未来函数.txt,57288,947,utf-8,True,initialize|run_daily|set_benchmark|set_universe|order_value|get_price|get_fundamentals,9f2d1977e464,False,normalized\2023年度精选策略\2.多策略融合-80倍-无未来函数.txt
214,2023年度精选策略,20.北向资金股票轮动-优质策略可直接实盘.txt,2023年度精选策略\20.北向资金股票轮动-优质策略可直接实盘.txt,5768,143,utf-8,True,initialize|run_daily|set_benchmark|order_target_value,d57a0adaef4f,False,normalized\2023年度精选策略\20.北向资金股票轮动-优质策略可直接实盘.txt
215,2023年度精选策略,21.截止到21年12月依然有效的小市值适配因子.txt,2023年度精选策略\21.截止到21年12月依然有效的小市值适配因子.txt,8999,198,utf-8,True,initialize|run_daily|run_weekly|set_benchmark|order_target_value|get_fundamentals,3e8bbfecef0c,False,normalized\2023年度精选策略\21.截止到21年12月依然有效的小市值适配因子.txt
216,2023年度精选策略,22.简单到发指的股指策略(2013到现在收益10949%).txt,2023年度精选策略\22.简单到发指的股指策略(2013到现在收益10949%).txt,1870,63,utf-8,True,initialize|run_daily|set_benchmark|order_target_value,f6856ed59e5e,False,normalized\2023年度精选策略\22.简单到发指的股指策略(2013到现在收益10949%).txt
217,2023年度精选策略,23.低AH溢价选股.txt,2023年度精选策略\23.低AH溢价选股.txt,3118,72,utf-8,True,initialize|run_weekly|set_benchmark|order_target_value|order_value,0dc9b17c4882,False,normalized\2023年度精选策略\23.低AH溢价选股.txt
218,2023年度精选策略,24.ROE+PB模型的优化.txt,2023年度精选策略\24.ROE+PB模型的优化.txt,7228,178,utf-8,True,initialize|run_weekly|set_benchmark|order_target_value|get_fundamentals,347a7638d04b,False,normalized\2023年度精选策略\24.ROE+PB模型的优化.txt
219,2023年度精选策略,25.这个可入得了你们法眼.txt,2023年度精选策略\25.这个可入得了你们法眼.txt,13917,385,utf-8,True,initialize|handle_data|before_trading_start|order_target_value|get_price|get_fundamentals,db0b7d43d56c,False,normalized\2023年度精选策略\25.这个可入得了你们法眼.txt
220,2023年度精选策略,26.追涨大师（超额142）.txt,2023年度精选策略\26.追涨大师（超额142）.txt,7520,188,utf-8,True,initialize|run_daily|set_benchmark|order_target_value|order_value,804d9a0e3453,False,normalized\2023年度精选策略\26.追涨大师（超额142）.txt
221,2023年度精选策略,27.从相关系数角度探讨etf轮动的可行性.txt,2023年度精选策略\27.从相关系数角度探讨etf轮动的可行性.txt,9088,206,utf-8,True,initialize|run_daily|set_benchmark|order_target_value,3f57e29567cf,False,normalized\2023年度精选策略\27.从相关系数角度探讨etf轮动的可行性.txt
222,2023年度精选策略,28.F_Score 选股，年化80%+.txt,2023年度精选策略\28.F_Score 选股，年化80%+.txt,9675,233,utf-8,True,initialize|run_weekly|set_benchmark|order_target_value,0f4b2f6ddd35,False,normalized\2023年度精选策略\28.F_Score 选股，年化80%+.txt
223,2023年度精选策略,29.价值成长轮动策略.txt,2023年度精选策略\29.价值成长轮动策略.txt,13788,307,utf-8,True,initialize|run_daily|set_benchmark|order_target_value|get_fundamentals,8bcc925a2091,False,normalized\2023年度精选策略\29.价值成长轮动策略.txt
224,2023年度精选策略,3.苦咖啡-默默赚钱系列-改.txt,2023年度精选策略\3.苦咖啡-默默赚钱系列-改.txt,4296,112,utf-8,True,initialize|run_weekly|set_benchmark|order_target_value,9c0136ec8f42,False,normalized\2023年度精选策略\3.苦咖啡-默默赚钱系列-改.txt
225,2023年度精选策略,30.跟着基金报团！！！174% 回撤 7.33%.txt,2023年度精选策略\30.跟着基金报团！！！174% 回撤 7.33%.txt,7690,219,utf-8,True,initialize|run_daily|run_weekly|run_monthly|set_benchmark|order_target_value|order_value,a8ee5104356a,False,normalized\2023年度精选策略\30.跟着基金报团！！！174% 回撤 7.33%.txt
226,2023年度精选策略,31.北向Boll带_ETF组合宝付费策略.txt,2023年度精选策略\31.北向Boll带_ETF组合宝付费策略.txt,14749,375,utf-8,True,initialize|run_daily|set_benchmark|order_target_value,c2baee64cbff,False,normalized\2023年度精选策略\31.北向Boll带_ETF组合宝付费策略.txt
227,2023年度精选策略,32.最适合上班族的策略-神奇公式策略.txt,2023年度精选策略\32.最适合上班族的策略-神奇公式策略.txt,18013,522,utf-8,True,initialize|run_daily|set_benchmark|order_target_value|get_fundamentals,0f9146dcb9e0,False,normalized\2023年度精选策略\32.最适合上班族的策略-神奇公式策略.txt
228,2023年度精选策略,33.趋势交易5.0 无择时-2年5倍不是梦.txt,2023年度精选策略\33.趋势交易5.0 无择时-2年5倍不是梦.txt,5333,142,utf-8,True,initialize|run_daily|set_benchmark|order_target_value,a4543012b464,False,normalized\2023年度精选策略\33.趋势交易5.0 无择时-2年5倍不是梦.txt
229,2023年度精选策略,34.超稳+翻倍，贝塔值只有0.048的期指策略.txt,2023年度精选策略\34.超稳+翻倍，贝塔值只有0.048的期指策略.txt,17424,403,utf-8,True,initialize|run_daily|set_benchmark|get_price,9c5d1bacd862,False,normalized\2023年度精选策略\34.超稳+翻倍，贝塔值只有0.048的期指策略.txt
230,2023年度精选策略,35.最简强者恒强策略.txt,2023年度精选策略\35.最简强者恒强策略.txt,2481,78,utf-8,True,initialize|run_monthly|set_benchmark|order_value|get_fundamentals,46df19434d0e,False,normalized\2023年度精选策略\35.最简强者恒强策略.txt
231,2023年度精选策略,36.PEG+EBIT对小市值因子的优化.txt,2023年度精选策略\36.PEG+EBIT对小市值因子的优化.txt,8696,191,utf-8,True,initialize|run_daily|set_benchmark|order_target_value|get_fundamentals,b1fb7e2246dd,False,normalized\2023年度精选策略\36.PEG+EBIT对小市值因子的优化.txt
232,2023年度精选策略,37.ETF动量轮动RSRS择时-魔改4-低通滤波.txt,2023年度精选策略\37.ETF动量轮动RSRS择时-魔改4-低通滤波.txt,8324,183,utf-8,True,initialize|run_daily|set_benchmark|order_target_value,6627072a69c2,False,normalized\2023年度精选策略\37.ETF动量轮动RSRS择时-魔改4-低通滤波.txt
233,2023年度精选策略,38.随机森林策略，低换手率，年化近50%.txt,2023年度精选策略\38.随机森林策略，低换手率，年化近50%.txt,3435,90,utf-8,True,initialize|run_daily|set_benchmark|order_target_value,761ba995d9c1,False,normalized\2023年度精选策略\38.随机森林策略，低换手率，年化近50%.txt
234,2023年度精选策略,39.低风险高收益的期货策略.txt,2023年度精选策略\39.低风险高收益的期货策略.txt,7391,203,utf-8,True,initialize|run_daily|set_benchmark|order_target_value,6ec227c6d688,False,normalized\2023年度精选策略\39.低风险高收益的期货策略.txt
235,2023年度精选策略,4.8年10倍，回撤小，有滑点！ETF动量简单轮动策略！.txt,2023年度精选策略\4.8年10倍，回撤小，有滑点！ETF动量简单轮动策略！.txt,13179,287,utf-8,True,initialize|run_daily|set_benchmark|order_target_value,4b5b58bda6af,False,normalized\2023年度精选策略\4.8年10倍，回撤小，有滑点！ETF动量简单轮动策略！.txt
